trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
62,0,62,0,118.694919800153,,118.670334600145,118.694919800153,119.70015570009127,119.70015570009127,120.10445390013047,up,1,0.38879829994402826,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
63,0,63,0,120.12971290014684,,120.11884620017372,120.12971290014684,121.15001310012303,121.15001310012303,121.45550679997541,up,1,0.29481719993054867,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
64,0,64,0,121.51414960017428,,121.48429500008933,121.51414960017428,122.49923210009001,122.52882140013389,122.6342909000814,up,1,0.11654780013486743,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
65,0,65,0,122.6620098000858,,122.64420900004916,122.6620098000858,123.64709710003808,123.66417410015129,124.00274240016006,up,0,0.34653070010244846,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
66,0,66,0,124.04540170007385,,124.01774100004695,124.04540170007385,125.04598930012435,125.06659800000489,125.10284690000117,up,0,0.044034000020474195,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
67,0,67,0,125.1478042001836,,125.11557830008678,125.1478042001836,126.11437880015,126.14781250013039,126.41703290003352,up,0,0.2803154999855906,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
68,0,68,0,126.46234069997445,,126.434345100075,126.46234069997445,127.44821269996464,127.46494630002417,127.66597560001537,up,1,0.21406969986855984,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
69,0,69,0,127.6945740999654,,127.67114940006286,127.6945740999654,128.69558980013244,128.71313190017827,129.22262620017864,up,0,0.517354300012812,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
70,0,70,0,129.26192900002934,,129.23955520009622,129.26192900002934,130.2622218001634,130.28195980004966,130.58950610016473,up,0,0.32077159988693893,None,-1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
71,0,71,0,130.62715970003046,,130.61242540017702,130.62715970003046,131.61287280009128,131.62887230003253,132.4894181001,up,0,0.8686427001375705,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
